trade_no,side,entry_time,exit_time,entry_price,exit_price,size_usd,margin_used,pnl_usd,pnl_pct,exit_reason
8643,long,2024-03-05 01:15,2024-03-05 01:30,3624.07,3644.7779,1.7537643453448125e+204,4.905529411693062e+202,8.968750862093373e+201,18.28,take_profit
8644,short,2024-03-05 01:30,2024-03-05 02:15,3644.18,3623.3572,2.051975311509417e+204,5.739668085622055e+202,1.0493801743059025e+202,18.28,take_profit
8645,short,2024-03-05 02:20,2024-03-05 02:30,3637.15,3616.3673,2.40089421946613e+204,6.71564411673526e+202,1.227817303834964e+202,18.28,take_profit
8646,long,2024-03-05 02:35,2024-03-05 03:20,3615.29,3635.9478,2.8091434729912553e+204,7.857575600166968e+202,1.4365959720877256e+202,18.28,take_profit
8647,long,2024-03-05 03:20,2024-03-05 03:35,3643.83,3664.6508,3.286811633710424e+204,9.193681684007157e+202,1.6808754694795212e+202,18.28,take_profit
8648,long,2024-03-05 03:35,2024-03-05 03:45,3664.34,3685.278,3.845702727312365e+204,1.0756979914396587e+203,1.9666923747475356e+202,18.28,take_profit
8649,long,2024-03-05 04:10,2024-03-05 04:20,3732.13,3710.8046,4.4996279419159206e+204,1.2586102157530532e+203,-2.8410650825257047e+202,-22.57,stop_loss
8650,short,2024-03-05 04:30,2024-03-05 04:45,3729.33,3708.0206,3.554973801976124e+204,9.9437695775275e+202,1.8180136023305935e+202,18.28,take_profit
8651,long,2024-03-05 04:45,2024-03-05 04:50,3687.85,3708.9224,4.159463324751046e+204,1.163461312837507e+203,2.1271495442776724e+202,18.28,take_profit
8652,long,2024-03-05 05:00,2024-03-05 05:10,3670.04,3691.0106,4.866740548223372e+204,1.3612968562030519e+203,2.4888511163614423e+202,18.28,take_profit
8653,long,2024-03-05 05:15,2024-03-05 05:30,3696.33,3717.4508,5.694283544413553e+204,1.592772454280248e+203,2.9120566046130554e+202,18.28,take_profit
8654,long,2024-03-05 05:35,2024-03-05 05:45,3720.16,3741.417,6.662542365447393e+204,1.863608278792285e+203,3.4072241656898042e+202,18.28,take_profit
8655,long,2024-03-05 06:00,2024-03-05 06:30,3711.5,3726.56,7.795444400539253e+204,2.180497162322265e+203,2.6953985595193285e+202,12.36,signal
8656,short,2024-03-05 06:35,2024-03-05 07:00,3725.79,3715.5,8.69166442157943e+204,2.4311827053503606e+203,1.8789904172507357e+202,7.73,signal
8657,short,2024-03-05 07:15,2024-03-05 07:30,3721.72,3700.4541,9.3164287353153e+204,2.6059382091067653e+203,4.764421655240224e+202,18.28,take_profit
8658,short,2024-03-05 07:35,2024-03-05 08:00,3695.74,3683.02,1.0900598935682674e+205,3.049053245152382e+203,3.097732815499616e+202,10.16,signal
8659,long,2024-03-05 08:05,2024-03-05 08:10,3657.16,3678.057,1.1930595096836297e+205,3.337157885657925e+203,6.101306332522113e+202,18.28,take_profit
8660,long,2024-03-05 08:30,2024-03-05 09:20,3685.42,3706.4785,1.39592794523999e+205,3.9046098811141435e+203,7.1387755119572315e+202,18.28,take_profit
8661,short,2024-03-05 09:30,2024-03-05 09:45,3694.77,3682.45,1.6332922310125677e+205,4.568551697603725e+203,4.4661445243541865e+202,9.78,signal
8662,long,2024-03-05 09:50,2024-03-05 10:25,3689.25,3710.3304,1.7817915364473447e+205,4.983925469091287e+203,9.11208191739164e+202,18.28,take_profit
8663,long,2024-03-05 10:25,2024-03-05 10:45,3719.43,3722.81,2.0847682602006165e+205,5.831394647818296e+203,6.436542570919534e+201,1.1,signal
8664,short,2024-03-05 10:50,2024-03-05 11:10,3723.96,3726.2,2.1061697642489237e+205,5.8912577119991326e+203,-2.5305844974383675e+202,-4.3,signal
